	　『まるごと』文法・文型リスト： 入門（理解）、初級1（理解）、初級2（理解）、初中級、中級1、中級2							Ver.2024/1/31
ＮＯ	見出し	教科書での形	分類	例文	教科書	トピック	課／PＡRT	JFSのトピック
112	～たことがある	V‐たことがあります	経験	外国に行ったことがあります。	初級1(りかい)	7　出張	13　田中さんに会ったことがあります	5　仕事と職業
113	～すぎる	イA‐すぎます	程度・比較	この部屋は寒すぎます。	初級1(りかい)	7　出張	13　田中さんに会ったことがあります	5　仕事と職業
114	～すぎる	ナA‐すぎます	程度・比較	この部屋は静かすぎます。	初級1(りかい)	7　出張	13　田中さんに会ったことがあります	5　仕事と職業
115	～すぎる	V‐すぎます	程度・比較	昨日の夜飲みすぎました。	初級1(りかい)	7　出張	13　田中さんに会ったことがあります	5　仕事と職業
116	～が	S1が、S2	逆接･譲歩	このホテルは古いですが、きれいです。	初級1(りかい)	7　出張	13　田中さんに会ったことがあります	5　仕事と職業
117	～て【期間】になる	V‐て～年／～か月になります 	経過・結末	この会社に入って10年になります。	初級1(りかい)	7　出張	14　これ、使ってもいいですか	5　仕事と職業
118	～てもいい	V‐てもいいですか	許可・禁止・義務・不必要	ペンを借りてもいいですか。	初級1(りかい)	7　出張	14　これ、使ってもいいですか	5　仕事と職業
119	～まえに	V‐るまえに、～	時間的前後	寝るまえに、お風呂に入ります。	初級1(りかい)	8　健康	15　体操するといいですよ	7　健康
120	～といい	V‐るといいです（よ）	勧誘・申し出・助言	寝るまえに、お風呂に入るといいですよ。	初級1(りかい)	8　健康	15　体操するといいですよ	7　健康
121	～ないでください	V‐ないでください	依頼・命令	急に首を回さないでください。	初級1(りかい)	8　健康	15　体操するといいですよ	7　健康
122	～たり～たり	V1‐たりV2‐たり（しています）	並列・反復	健康のためにヨガをしたり、走ったりしています。	初級1(りかい)	8　健康	16　走ったり、泳いだり しています	7　健康
123	文＋人　＜連体修飾節＞	V‐る＋人 	説明	朝ご飯を食べる人は20人です。	初級1(りかい)	8　健康	16　走ったり、泳いだり しています	7　健康
124	文＋人　＜連体修飾節＞	V‐ない＋人 	説明	朝ご飯を食べない人は30人です。	初級1(りかい)	8　健康	16　走ったり、泳いだり しています	7　健康
125	～んです	S（普通体）んです	説明	このかばんは姉にもらったんです。	初級1(りかい)	9　お祝い	17　誕生日にもらったんです	11　人との関係
126	あげる	N1はN2にN3をあげます	授受	ジョイさんは佐藤さんに花をあげます。	初級1(りかい)	9　お祝い	17　誕生日にもらったんです	11　人との関係
127	もらう	N2はN1に／からN3をもらいます	授受	佐藤さんはジョイさんに／から花をもらいます。	初級1(りかい)	9　お祝い	17　誕生日にもらったんです	11　人との関係
128	文＋N　＜連体修飾節＞	V（普通体）＋N	説明	赤ちゃんが着るもの	初級1(りかい)	9　お祝い	17　誕生日にもらったんです	11　人との関係
129	～と思う	S（普通体）と思います	意見・予想・推測	お祝いはパーティーがいいと思います。	初級1(りかい)	9　お祝い	18　パーティーがいいと思います	11　人との関係
130	～と言っていた	S（普通体）と言っていました	伝聞・引用	田中さんは楽しかったと言っていました。	初級1(りかい)	9　お祝い	18　パーティーがいいと思います	11　人との関係
131	～という意味	Nという意味	伝聞・引用	一番目の男の子という意味	初級2(りかい)	1　新しい友だち	1　いい名前ですね	1　自分と家族
132	～というN	N1というN2	伝聞・引用	さいたまというところ	初級2(りかい)	1　新しい友だち	1　いい名前ですね	1　自分と家族
133	文＋N　＜連体修飾節＞	Ｓ（普通体）＋N　※Ｎの／ナA‐な／イA‐い+Ｎ	説明	先週（私が）買った本	初級2(りかい)	1　新しい友だち	1　いい名前ですね	1　自分と家族
134	～は～が～	N1（人）はN2がナA‐／イA‐いです	様子・状態	あの女の人は髪が長いです。	初級2(りかい)	1　新しい友だち	2　めがねをかけている人です	1　自分と家族
135	文＋人　＜連体修飾節＞	N2がナA‐な／イA‐い＋N1（人）	説明	髪が長い人	初級2(りかい)	1　新しい友だち	2　めがねをかけている人です	1　自分と家族
